name,description,domain,last_month_stars,this_month_stars,stars_m_m_growth,last_month_multiple
PDF Studio for Windows,"An easy to use, full-featured PDF editing software",,87,98,11,1.1
Report Builder,Get User and Organization Reports with GraphQL,ecanarys.com,69,79,10,1.1
Automate Repo Permissions,Automate repository permissions for Teams in GitHub for 100's of repositories in one go,ecanarys.com,73,82,9,1.1
Autoprovision GitHub Resources,Automate the creation or updation of GitHub resources with just a few input values,ecanarys.com,47,52,5,1.1
Unicorn Train,Employee-driven rewards and recognition that seamlessly integrates everywhere your team gets work done,,71,79,8,1.1
Pull Requests Robot,ChatOps over Github pull requests and issues using slash commands,,46,51,5,1.1
Localyzer Express,"(Alpha Version) Lingoport continuous translation/localization for your application resource files (.properties, .resx ...)",,52,58,6,1.1
ReflectionBot,Engage and advance students learning through prompts sent to them when they push,,175,191,16,1.1
DevOps KPI Collector,Read Only access to collect DevOps KPI Data and generate Dashboard,,139,159,20,1.1
WIP,DO NOT MERGE – as a service,,10300,10300,0,1.0
Cerveau,Note-taking based on plain-text Markdown in Git repo,,450,447,-3,1.0
Depfu,Automated dependency updates done right,,2600,2600,0,1.0
Merge when green,Automatically merge pull requests when all tests have passed,,201,202,1,1.0
OkayHQ,Analytics for dev tools,okayhq.com,124,122,-2,1.0
GitSpo,Analytics and Alerts for Open-Source,,619,622,3,1.0
unmock,"Unmock helps you organize mocks (fixtures) for your HTTP(S) calls, speeding up development and increasing resiliency",,550,558,8,1.0
Vizipi,See whats missing from you Pullrequest and who's the most knowledgeable reviewer,vizipi.com,126,131,5,1.0
close-label,Applies a specific label to an issue closed through a pull request targeting the default branch in the same repository,,81,83,2,1.0
Fire CI,Turn your team laptops into a farm of Docker based CI servers,fire.ci,191,200,9,1.0
AnyLint,Code linting on all your commits without any configuration needed,hell.sh,233,234,1,1.0
Hound,Automated code reviews,houndci.com,4300,4300,0,1.0
Mockend,On-demand GraphQL and REST fake API,mockend.com,13000,12700,-300,1.0
Octobox,Spend less time managing your GitHub notifications,octobox.io,5900,6000,100,1.0
Rollbar,Discover and Respond to Errors in Real Time Starting at $0/mo,rollbar.com,5600,5600,0,1.0
Ship | Build Monitoring,Elegant desktop + menu bar app to monitor CI/CD builds,www.shipapp.io,71,70,-1,1.0
Auto Badge,Automatically label your pull requests,a1motion.com,203,206,3,1.0
Accurics,Detect policy violations across Infrastructure as Code and programmatically fix them with automated pull requests,accurics.com,289,288,-1,1.0
Teamlytics,"Team leader board and statistics on code contributions, PRs, code reviews, closing issues, and project managment",,431,440,9,1.0
Datree,YAML configs and K8s manifests validation tool,datree.io,2000,2000,0,1.0
Git Streaks,Make coding on GitHub a habit,,687,667,-20,1.0
gobencher,Continuous benchmarking for the Go programming language,orijtech.com,102,99,-3,1.0
Tidelift,Enterprise-ready open source software—managed for you,tidelift.com,634,627,-7,1.0
Mokuren for GitHub,Open GitHub Issues in the sidebar,tinplab.xyz,128,129,1,1.0
todo,Create new issues from actionable comments in your code,,4200,4200,0,1.0
CodeLingo,Share links to snippets that open directly in VS Code,codelingo.io,939,934,-5,1.0
DevHub,"Desktop and Mobile apps to keep an eye on Repo Activities, Issues and Notifications (like TweetDeck)",devhubapp.com,9400,9700,300,1.0
fuzzit.dev,Continuous Fuzzing for C/C++/Java/Golang/Rust and Swift integrated with your current CI/CD workflow,fuzzit.dev,505,511,6,1.0
Sentry,"Real-time, cross-platform crash reporting and error logging",sentry.io,36400,35800,-600,1.0
Report.Ci,Reports for unit tests and build logs with lots of annotations chars,report.ci,173,180,7,1.0
Softagram,Speed up pull request reviews with Softagram analysis. Clear visualization of the change and its impact on your codebase,softagram.com,254,254,0,1.0
CleanThat,Automatic cleaning of code,m-itrust.com,276,289,13,1.0
KeksChat,Your App to show your Github profile in your KeksChat profile,,151,158,7,1.0
Travis CI,Test and deploy with confidence,,370000,384000,14000,1.0
GitLive,Development teams merge faster with GitLive,git.live,13900,14100,200,1.0
GradientCI,GradientCI: Add a simple config file to your GitHub repo to train ML models directly from git commits,,2000,2000,0,1.0
NotiFunction,Hosted Notification Microservices: create custom Slack notifications with buttons in minutes,,31,32,1,1.0
Semantic PR Title,Verifies PR title complies with Angular commit convention standard (or custom regex),,120,121,1,1.0
Meercode | CI Monitoring,Meercode is the ultimate dashboard for your GitHub Actions | Starting at $0/month,meercode.io,1600,1600,0,1.0
Ranger,A sidekick for repository maintainers,reporanger.com,735,755,20,1.0
App Center,"Continuously build, test, release, and monitor apps for every platform",microsoft.com,10300,10600,300,1.0
Garnet Secrets Scanner (deprecated),"Real-time secrets detection, alerting and remediation in your PRs",,47,49,2,1.0
Check TODO,Checks for any added or modified TODO items in a Pull Request,,352,358,6,1.0
Truegit App,A Publishing Platform powered by Git,,109,112,3,1.0
JS Bundle Analyzer,Keep your webpack bundle optimized over time,smooth-code.com,685,677,-8,1.0
SourceLevel,"Pull Requests, Collaboration, Teams, Individuals and DORA Metrics. Help teams succeed, improve accountability",sourcelevel.io,931,929,-2,1.0
MultitudesCo,"Analytics and coaching to create happier, higher-performing teams",multitudes.co,82,86,4,1.0
codebeat,Code review expert on demand. Automated for mobile and web,codequest.com,11800,11700,-100,1.0
GraphQL Inspector,"Validate schemas, get schema change notifications, validate operations and fragments, find breaking changes",,1300,1300,0,1.0
Pull Assistant,Pull Assistant analyses pull requests and provides the optimal way to perform code reviews,,2100,2100,0,1.0
ZeroTime for GitHub,Replicon's ZeroTime™ platform for GitHub,replicon.com,25,25,0,1.0
Scope for GitHub,Scope turns tests into the insights you need to ship higher quality software more frequently,undefinedlabs.com,126,127,1,1.0
Metabob-app,AI-powered code review and analysis tool for Python,metabob.com,3100,3000,-100,1.0
Create Issue Branch,Bot that creates an issue branch after assigning an issue,patching.io,2300,2400,100,1.0
Plug in Git for Shopify,Two-way Shopify <> GitHub sync,pluginuseful.com,536,550,14,1.0
Links for Confluence,Brings information from Github to Confluence from Atlassian,moveworkforward.com,488,501,13,1.0
Simple discord bot,This is a app the can help you make a discord bot. This app makes a starter code types simple and helps with the bots discord,,382,395,13,1.0
Check Run Reporter,"See your test and style results without leaving GitHub. Works with any CI service. Supports JUnit, Checkstyle, and more",check-run-reporter.com,876,899,23,1.0
Code Review Doctor,Catch more Python and Django bugs during code review,,3100,3100,0,1.0
Commit Message Lint,Enforces convention of commit messages and pull request title,systangostudios.com,580,605,25,1.0
Issue-Label Bot,Automatically label GitHub Issues with machine learning,,3000,3100,100,1.0
Memo Note App,GitHub Gist Powered Smart Note Taking App,,222,208,-14,0.9
Disbug.io,Report and fix bugs remarkably faster by adding 10x clarity to bug reports,,41,38,-3,0.9
Altostra,No-code infrastructure platform for developers,altostra.com,632,575,-57,0.9
Slapdash,Command Bar Launcher for Github,slapdash.com,1600,1500,-100,0.9
Sleuth,Track and improve engineering efficiency,,1600,1400,-200,0.9
Coveralls,"Ensure that new code is fully covered, and see coverage trends emerge. Works with any CI service",coveralls.io,14300,12300,-2000,0.9
Foresight,See you later on the other side,runforesight.com,445,399,-46,0.9
Octostats Analytics,Scoreboard for your public Github repositories,mobilefirst.me,75,64,-11,0.9
Timely - Time tracking and planning,Automatically capture all the time you spend in GitHub,timelyapp.com,1700,1400,-300,0.8
Pullwalla,Stay on top of pull requests with Pullwalla - your unified pull request manager,,187,152,-35,0.8
POEditor,Manage your software localization collaboratively,poeditor.com,4900,3900,-1000,0.8
Pageclip,Save information from your website via forms or front-end JavaScript,,5300,4100,-1200,0.8
Airbrake,Frictionless error monitoring and performance insights for your entire app stack,airbrake.io,6900,5800,-1100,0.8
AppVeyor,"Cloud service for building, testing and deploying Windows apps",,14300,10900,-3400,0.8
Neat,"GitHub notifications in your macOS menu bar. Alternative to DevHub, Octobox, and Slack",neat.run,2400,1900,-500,0.8
Analytics & Reports,Instant Analytics and Automated Reports for GitHub,screenful.com,311,252,-59,0.8
HackerOne for GitHub,"HackerOne streamlines workflow between security and development to speed response, track GitHub issues and remediate faster",hackerone.com,26,21,-5,0.8
ReportPortal.io - AI-powered test automation reporting,Open Source tool that uses Machine Learning to speed up the process to triage and determine why tests fail,reportportal.io,616,484,-132,0.8
Qovery,Test and Release Features 4x Faster with On-demand Environments,qovery.com,15800,10800,-5000,0.7
Instabug,Instabug is a reliable bug reporting and user feedback SDK that enables testers and users to report issues from within the app,instabug.com,867,611,-256,0.7
Codetree,Lightweight project management for GitHub issues,codetree.com,1800,1200,-600,0.7
DeepScan,Advanced static analysis for automatically finding runtime errors in JavaScript code,,4900,3600,-1300,0.7
Scantist Thompson,Proactive vulnerability management and license compliance for your third-party components,scantist.io,452,310,-142,0.7
Orwell app,"Quickly see how busy your team are, showing issues and PRs",studiolift.com,36,24,-12,0.7
Strap,Strap is a script to bootstrap a minimal macOS development system,,274,188,-86,0.7
Jit Security,The Only Open DevSecOps Orchestration Platform,jit.io,499,335,-164,0.7
OctodroidBuildService,This app is a rolling-release distribution of Octodroid (unofficial open-source Github client for Android devices),,33,24,-9,0.7
HTML/CSS to Image,Generate images from code,htmlcsstoimage.com,669,486,-183,0.7
Code Expander,Type faster using abbreviations for phrases with gist,,202,130,-72,0.6
Cobrowse.io,"Cobrowse for Android, iOS and Web",cobrowse.io,194,125,-69,0.6
Codeit,Mobile code editor connected to Git,codeit.codes,1300,831,-469,0.6
Coding Rooms,The first virtual classroom for teaching programming,codingrooms.com,23600,14800,-8800,0.6
octo.app,Build your knowledge base,,242,153,-89,0.6
Integrately App,Integrately is a 1 click automation software that enables you to connect GitHub with your favorite apps in just 1 click,,274,177,-97,0.6
Stastic,Website editor on top of Github pages,internetdefrance.fr,517,307,-210,0.6
cee.studio,"Debug C/C++ Memory Errors In Minutes, Not In Hours",stensal.io,279,132,-147,0.5
Zerocrat,A project manager that never sleeps,www.zerocracy.com,173,95,-78,0.5
Buddy,One-click delivery automation for Web Developers,buddy.works,18200,9100,-9100,0.5
IntelliJ CI Dashboard,Manage your GitHub actions from you Intellij IDE,,225,110,-115,0.5
Motionlink,"Publish content to your blog, portfolio and doc websites directly from Notion",lytowl.com,107,56,-51,0.5
Portacode,Mobile-friendly professional online code editor for github,,83,29,-54,0.3
Leet Hub,LeetHub is a chrome extension that automatically pushes your code to GitHub when you solve any Leetcode problem,,16800,3600,-13200,0.2
Nightfall DLP: GitHub Secrets Scanner,"Nightfall automatically detects PII, credentials, secrets, and more in GitHub repos via machine learning. Free tier",nightfall.ai,144,30,-114,0.2
